step time minX maxX minY maxY width height area
1 0.0100 -0.5219 20.5550 -0.6163 15.6934 21.0768 16.3097 343.7563
2 0.0200 -0.5219 20.5549 -0.6163 15.6932 21.0768 16.3095 343.7516
3 0.0300 -0.5220 20.5547 -0.6162 15.6930 21.0767 16.3092 343.7436
4 0.0400 -0.5221 20.5544 -0.6160 15.6928 21.0765 16.3088 343.7324
5 0.0500 -0.5222 20.5541 -0.6159 15.6924 21.0763 16.3083 343.7179
6 0.0600 -0.5223 20.5537 -0.6157 15.6920 21.0760 16.3077 343.7000
7 0.0700 -0.5224 20.5533 -0.6155 15.6914 21.0757 16.3069 343.6787
8 0.0800 -0.5225 20.5527 -0.6152 15.6908 21.0752 16.3060 343.6539
9 0.0900 -0.5227 20.5521 -0.6149 15.6902 21.0748 16.3051 343.6255
10 0.1000 -0.5228 20.5514 -0.6146 15.6894 21.0742 16.3040 343.5934
11 0.1100 -0.5229 20.5507 -0.6142 15.6886 21.0736 16.3028 343.5575
12 0.1200 -0.5230 20.5499 -0.6138 15.6877 21.0728 16.3015 343.5176
13 0.1300 -0.5230 20.5490 -0.6133 15.6867 21.0720 16.3000 343.4737
14 0.1400 -0.5230 20.5480 -0.6129 15.6856 21.0710 16.2985 343.4257
15 0.1500 -0.5230 20.5470 -0.6124 15.6844 21.0700 16.2968 343.3733
16 0.1600 -0.5229 20.5459 -0.6118 15.6832 21.0688 16.2950 343.3166
17 0.1700 -0.5228 20.5447 -0.6112 15.6819 21.0675 16.2931 343.2553
18 0.1800 -0.5226 20.5434 -0.6106 15.6805 21.0660 16.2911 343.1895
19 0.1900 -0.5223 20.5421 -0.6100 15.6790 21.0645 16.2890 343.1189
20 0.2000 -0.5220 20.5407 -0.6093 15.6775 21.0627 16.2868 343.0435
21 0.2100 -0.5216 20.5393 -0.6086 15.6758 21.0608 16.2844 342.9632
22 0.2200 -0.5210 20.5378 -0.6078 15.6741 21.0588 16.2819 342.8778
23 0.2300 -0.5204 20.5362 -0.6070 15.6723 21.0566 16.2794 342.7874
24 0.2400 -0.5197 20.5345 -0.6062 15.6705 21.0542 16.2767 342.6917
25 0.2500 -0.5189 20.5328 -0.6053 15.6685 21.0516 16.2738 342.5908
26 0.2600 -0.5179 20.5310 -0.6044 15.6665 21.0489 16.2709 342.4845
27 0.2700 -0.5169 20.5291 -0.6035 15.6643 21.0460 16.2679 342.3727
28 0.2800 -0.5157 20.5272 -0.6025 15.6622 21.0428 16.2647 342.2555
29 0.2900 -0.5144 20.5251 -0.6015 15.6599 21.0395 16.2614 342.1327
30 0.3000 -0.5130 20.5231 -0.6005 15.6575 21.0360 16.2580 342.0043
31 0.3100 -0.5114 20.5209 -0.5994 15.6551 21.0323 16.2545 341.8702
32 0.3200 -0.5097 20.5187 -0.5983 15.6526 21.0284 16.2509 341.7303
